,ME_Id,EMC_Column_Name,EMU_Unit,ME_Value,EYM_YearMonth,ME_DateTimeRecord
244,378,Material,1.00Bt,47437039.3725656,202502,2025-03-07 08:38:26.790
245,392,F_O_H_total,1.00Bt,50579167.65,202502,2025-04-07 14:21:30.847
246,340,Direct_Labor,1.00Bt,13162681.58,202503,2025-04-07 14:21:30.930
247,341,Indirect_Labor,1.00Bt,7819849.29,202503,2025-04-07 14:21:30.953
248,342,Outside_Process,1.00Bt,8186482.5,202503,2025-04-07 14:21:30.973
249,343,Indirect_Materials,1.00Bt,7363288.58,202503,2025-04-07 14:21:31.027
250,344,Repair_Maint,1.00Bt,1288241.86,202503,2025-04-07 14:21:31.053
251,345,Electric_Power,1.00Bt,2227895.71,202503,2025-04-07 14:21:31.087
252,346,Depreciation,1.00Bt,7374530.85,202503,2025-04-07 14:21:31.120
253,347,Other_F_O_H,1.00Bt,4038317.86,202503,2025-04-07 14:21:31.140
254,348,Allocation,1.00Bt,2591071.26,202503,2025-04-07 14:21:31.163
255,379,Material,1.00Bt,47437039.3725656,202503,2025-03-07 08:38:27.313
256,397,F_O_H_total,1.00Bt,54052359.49,202503,2025-04-07 14:21:31.190
257,349,Direct_Labor,1.00Bt,14447836.5745455,202504,2025-03-27 16:38:54.950
258,350,Indirect_Labor,1.00Bt,7527502.53045455,202504,2025-03-27 16:38:54.997
259,351,Outside_Process,1.00Bt,9391215.63772727,202504,2025-03-27 16:38:55.047
260,352,Indirect_Materials,1.00Bt,7785173.98363636,202504,2025-03-27 16:38:55.083
261,353,Repair_Maint,1.00Bt,995679.327272727,202504,2025-03-27 16:38:55.120
262,354,Electric_Power,1.00Bt,2086362.51045455,202504,2025-03-27 16:38:55.163
263,355,Depreciation,1.00Bt,6466154.79227273,202504,2025-03-27 16:38:55.203
264,356,Other_F_O_H,1.00Bt,4878736.63142727,202504,2025-03-27 16:38:55.247
265,357,Allocation,1.00Bt,2571244.77537727,202504,2025-03-27 16:38:55.300
266,380,Material,1.00Bt,47125241.2767888,202504,2025-03-07 08:38:27.667
